**INFO_BEGIN**
Model,WT310E
Serial Number,C2RM02002V
Version,F1.01
Start Time,2020,3,8,15,8,26
Voltage Range,300,V
Current Range,20,A
Crest Factor,3
Update Rate,0.25,S
Standard,IEC62301 Ed.2(Auto)
Cycle Time,300
Algorithm,LR,CA,SP1,SP2,SAE
Stop Factor,User Stop
Valid Period,0.000000, 1.250000
**INFO_END**
**DATA_BEGIN**
Time,Test Voltage(V),Test Frequency(Hz),THD,Crest Factor U,Crest Factor I,Power(W),Accumulated Energy(Wh),Real Power Factor,Apparent Power(VA)
0.250,120.030000,59.982000,---,1.407000,0.000000,3.000000,0.000210,0.000000,0.000000
0.500,120.020000,59.985000,---,1.407000,0.000000,3.000000,0.000419,0.000000,0.000000
0.750,120.010000,59.982000,---,1.407000,0.000000,3.000000,0.000629,0.000000,0.000000
1.000,120.010000,59.984000,---,1.407000,0.000000,3.000000,0.000839,0.000000,0.000000
1.250,120.010000,59.983000,---,1.407000,0.000000,3.000000,0.001048,0.000000,0.000000
**DATA_END**
